Прайс на дату: 10.03.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
ДУХМЯНА ХАТА;;;;;;
12 трав та овочів куряча приправа 80гр/ТМСмаколик;шт;1;6.72;6.72;40.00;40.00
12 трав та овочів універ. приправа 80гр/ТМСмаколик;шт;1;6.72;6.72;29.00;29.00
20 трав та овочів приправа 70гр/ТМСмаколик;шт;1;6.72;6.72;22.00;22.00
Brushetta приправа 20гр/ТМ Дух. Хата;шт;1;5.53;5.53;40.00;40.00
Buritto приправа 20гр/ТМ Дух. Хата;шт;1;5.53;5.53;40.00;40.00
Peperencino приправа 20гр/ТМ Дух. Хата;шт;1;5.99;5.99;40.00;40.00
Sharena sol приправа 20гр/ТМ Дух. Хата;шт;1;5.67;5.67;40.00;40.00
Taco de Tortilla приправа 20гр/ТМ Дух. Хата;шт;1;5.49;5.49;40.00;40.00
Аджика суха приправа 20гр/ТМ Грузин.Трад.;шт;1;5.88;5.88;45.00;45.00
АКЦІЯПерець чорн.мелен.в/г припр.20гр/ТМ Дух. Хата;шт;1;0.01;0.01;6.00;6.00
Бадьян цілий приправа 20гр/ТМ Дух. Хата;шт;1;8.82;8.82;48.00;48.00
Базилік приправа 10гр/ТМ Дух. Хата;шт;1;3.23;3.23;27.00;27.00
Бігос, по-Старопольськи приправа 20гр/ТМ Дух. Хата;шт;1;5.45;5.45;37.00;37.00
Бограч по-мадярськи приправа 20гр/ТМ Дух. Хата;шт;1;5.49;5.49;32.00;32.00
Букет спецій приправа 30гр/ТМ Смаколик;шт;1;5.04;5.04;19.00;19.00
Ванілін приправа 10гр/ТМ Дух. Хата;шт;1;4.27;4.27;36.00;36.00
Ванільний цукор 20гр/ТМ Дух. Хата;шт;1;3.46;3.46;40.00;40.00
Гвоздика ціла приправа 10гр/ТМ Дух. Хата;шт;1;7.25;7.25;50.00;50.00
Гірчичний порошок приправа 50гр/ТМ Дух. Хата;шт;1;3.71;3.71;30.00;30.00
Грецькі трави приправа 10гр/ТМ Дух. Хата;шт;1;3.98;3.98;35.00;35.00
Грибна приправа 30гр/ТМСмаколик;шт;1;6.23;6.23;55.00;55.00
До барбекю приправа 20гр/ТМ Дух. Хата;шт;1;4.90;4.90;28.00;28.00
До борщу по-українські приправа 20гр/ТМ Дух. Хата;шт;1;6.09;6.09;44.00;44.00
До випічки приправа 20гр/ТМ Дух. Хата;шт;1;5.81;5.81;15.00;15.00
До гриля приправа 20гр/ТМ Дух. Хата;шт;1;5.60;5.60;22.00;22.00
До кави та чаю приправа 20гр/ТМ Дух. Хата;шт;1;6.37;6.37;11.00;11.00
До картоплі по-селянс. приправа 20гр/ТМ Дух. Хата;шт;1;5.25;5.25;66.00;66.00
До курки запашна приправа 20гр/ТМ Дух. Хата;шт;1;6.16;6.16;58.00;58.00
До моркви по-корейс. приправа 20гр/ТМ Грузин.Трад.;шт;1;5.74;5.74;53.00;53.00
До м'яса запашна приправа 20гр/ТМ Дух. Хата;шт;1;5.60;5.60;106.00;106.00
До м'яса приправа 20гр/ТМ Грузин.Трад.;шт;1;5.81;5.81;49.00;49.00
До перших страв приправа 20гр/ТМ Грузин.Трад.;шт;1;5.81;5.81;23.00;23.00
До піци приправа 20гр/ТМ Дух. Хата;шт;1;5.46;5.46;50.00;50.00
До плову по-узбецьки приправа 20гр/ТМ Дух. Хата;шт;1;4.97;4.97;7.00;7.00
До плову приправа 20гр/ТМ Грузин.Трад.;шт;1;5.59;5.59;75.00;75.00
До плову приправа 20гр/ТМ Дух. Хата;шт;1;4.97;4.97;75.00;75.00
До птиці приправа 20гр/ТМ Грузин.Трад.;шт;1;5.67;5.67;80.00;80.00
До риби запашна приправа 20гр/ТМ Дух. Хата;шт;1;5.74;5.74;25.00;25.00
До риби пряна приправа 20гр/ТМ Грузин.Трад.;шт;1;5.67;5.67;75.00;75.00
До сала приправа 20гр/ТМ Грузин.Трад.;шт;1;5.81;5.81;45.00;45.00
До супів та бульйонів приправа 20гр/ТМ Дух. Хата;шт;1;6.02;6.02;47.00;47.00
До фаршу та голубців приправа 20гр/ТМ Дух. Хата;шт;1;4.83;4.83;75.00;75.00
До шашлику по-європейс. приправа 20гр/ТМ Дух. Хата;шт;1;5.32;5.32;59.00;59.00
До шашлику приправа 20гр/ТМ Грузин.Трад.;шт;1;5.68;5.68;37.00;37.00
До шурпи приправа 10гр/ТМ Дух. Хата;шт;1;5.18;5.18;35.00;35.00
Естрагон приправа 10гр/ТМ Дух. Хата;шт;1;7.84;7.84;30.00;30.00
Желатин харчовий  20гр/ТМ Дух. Хата;шт;1;8.62;8.62;25.00;25.00
Желе вишня 80гр/ТМСмаколик;шт;1;8.37;8.37;8.00;8.00
Желе малина 80гр/ТМСмаколик;шт;1;8.37;8.37;8.00;8.00
Желе полуниця 80гр/ТМСмаколик;шт;1;8.37;8.37;8.00;8.00
Згущувач харчовий  20гр/ТМ Дух. Хата;шт;1;5.24;5.24;47.00;47.00
Ізюм світлий 100гр/ТМ Дух. Хата;шт;1;17.64;17.64;10.00;10.00
Ізюм світлий 200гр/ТМ Дух. Хата;шт;1;31.22;31.22;20.00;20.00
Імбирний чай приправа 20гр/ТМ Дух. Хата;шт;1;5.60;5.60;34.00;34.00
Італійські трави приправа 10гр/ТМ Дух. Хата;шт;1;4.23;4.23;41.00;41.00
"Кардамон мелен. ""Екстра""приправа 20гр/ТМ Дух. Хата";шт;1;15.62;15.62;15.00;15.00
Каррі гострий приправа 20гр/ТМ Дух. Хата;шт;1;5.67;5.67;104.00;104.00
Каррі ніжний приправа 20гр/ТМ Дух. Хата;шт;1;5.46;5.46;109.00;109.00
Кисіль вишня 65гр/ТМСмаколик;шт;1;6.37;6.37;15.00;15.00
Кисіль клюква 65гр/ТМСмаколик;шт;1;6.37;6.37;15.00;15.00
Кисіль лісова ягода 65гр/ТМСмаколик;шт;1;6.37;6.37;5.00;5.00
Кисіль малина 65гр/ТМСмаколик;шт;1;6.37;6.37;5.00;5.00
Кмин цілий приправа 20гр/ТМ Дух. Хата;шт;1;5.53;5.53;30.00;30.00
Кокосова стружка 20гр/ТМ Дух. Хата;шт;1;5.43;5.43;10.00;10.00
Кориця мелена приправа 20гр/ТМ Дух. Хата;шт;1;6.09;6.09;88.00;88.00
Кориця паличка приправа 20гр/ТМ Дух. Хата;шт;1;6.09;6.09;40.00;40.00
Коріандр цілий приправа 20гр/ТМ Дух. Хата;шт;1;2.24;2.24;10.00;10.00
Крем шоколадний 70гр/ТМСмаколик;шт;1;5.54;5.54;5.00;5.00
Кріп зелень приправа 15гр/ТМ Дух. Хата;шт;1;3.71;3.71;54.00;54.00
Кубдарі приправа 20гр/ТМ Грузин.Трад.;шт;1;5.88;5.88;59.00;59.00
Кумин (зіра) приправа 20гр/ТМ Дух. Хата;шт;1;6.44;6.44;40.00;40.00
Куркума мелена Преміум приправа 20гр/ТМ Дух. Хата;шт;1;3.99;3.99;104.00;104.00
Лавровий лист мелений приправа 20гр/ТМ Дух. Хата;шт;1;4.14;4.14;20.00;20.00
Лавровий лист, в/г приправа 20гр/ТМ Дух. Хата;шт;1;4.13;4.13;57.00;57.00
Лемонграсс приправа 10гр/ТМ Дух. Хата;шт;1;3.54;3.54;45.00;45.00
Лимонний перець приправа 20гр/ТМ Дух. Хата;шт;1;5.81;5.81;30.00;30.00
Мак 150гр/ТМ Дух. Хата;шт;1;43.76;43.76;28.00;28.00
Маринад для домашньої птиці 30гр/ТМСмаколик;шт;1;5.25;5.25;30.00;30.00
Маринад для курки 30гр/ТМСмаколик;шт;1;5.25;5.25;25.00;25.00
Маринад для м'яса барбекю 30гр/ТМСмаколик;шт;1;5.57;5.57;10.00;10.00
Маринад для свин з часн. та травам 30гр/ТМСмаколик;шт;1;5.57;5.57;15.00;15.00
Маринад для шашлику 30гр/ТМСмаколик;шт;1;5.57;5.57;2.00;2.00
Маринад до курки з часник.та трав.30гр/ТМСмаколик;шт;1;5.25;5.25;20.00;20.00
Маринад до м`яса та птиці 30гр/ТМСмаколик;шт;1;5.25;5.25;25.00;25.00
Мускатний горіх мелений Екстра 20гр/ТМ Дух. Хата;шт;1;12.84;12.84;5.00;5.00
Мускатний горіх цілий 15гр/ТМ Дух. Хата;шт;1;16.46;16.46;10.00;10.00
Набір для глінтвейну приправа 20гр/ТМ Дух. Хата;шт;1;14.35;14.35;52.00;52.00
Орегано приправа 10гр/ТМ Дух. Хата;шт;1;3.43;3.43;63.00;63.00
Паприка гостра копчена приправа 20гр/ТМ Дух. Хата;шт;1;7.06;7.06;34.00;34.00
Паприка солодка копчена приправа 20гр/ТМ Дух. Хата;шт;1;6.96;6.96;34.00;34.00
Паприка червона мелена приправа 20гр/ТМ Дух. Хата;шт;1;4.10;4.10;109.00;109.00
Перець білий горошок приправа 15гр/ТМ Дух. Хата;шт;1;8.60;8.60;14.00;14.00
Перець духмяний горошок приправа 20гр/ТМ Дух. Хата;шт;1;6.05;6.05;40.00;40.00
Перець духмяний мелений приправа 20гр/ТМ Дух. Хата;шт;1;6.05;6.05;34.00;34.00
Перець зелений горошок приправа 15гр/ТМ Дух. Хата;шт;1;18.86;18.86;14.00;14.00
Перець каєнський мелен. приправа 20гр/ТМ Дух. Хата;шт;1;6.96;6.96;30.00;30.00
Перець рожевий горошок приправа 15гр/ТМ Дух. Хата;шт;1;16.45;16.45;4.00;4.00
Перець Сичуанський приправа 15гр/ТМ Дух. Хата;шт;1;21.63;21.63;15.00;15.00
