Прайс на дату: 09.12.18;;;;;;
;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расфас.)
ЛУСКУНЧИК тм;;;;;;
Арахіс смаж, в шкарлупі 130г/1 Опак./ТМ Лускунчики;шт;1;18.69;18.69;2.00;2.00
Арахіс смаж, в шкарлупі 55г/20пак.ЯМ Лускунчики;шт;1;7.98;7.98;70.00;70.00
Арахіс смаж, в шкарлупі 70г/20пак./ТМ Лускунчики;шт;1;9.43;9.43;139.00;139.00
Арахіс смаж.СОЛЬ 30г/20пак./ТМ Лускунчики;шт;1;4.34;4.34;34.00;34.00
Арахіс смаж.СОЛЬ ПАПРИКА 40г/15пак./ТМ Лускунчики;шт;1;5.85;5.85;28.00;28.00
Арахісу хруст.ск.ТЕЛЯТИНА 80г/10пакЯМ Лускунчик;шт;1;9.45;9.45;73.00;73.00
Арахіс у хруст.скМЕКС.СОУС 80г/10пакЯМ Лускунчики;шт;1;8.78;8.78;74.00;74.00
Арахіс у хруст.скор.БЕКОН 80г/10пак/ТМ Лускунчики;шт;1;8.78;8.78;123.00;123.00
Арахіс у хруст.скор.ВАСАБІ 80г/10пак/ТМ Лускунчики;шт;1;9.69;9.69;97.00;97.00
Арахіс у хруст.скор.КУРКА 80г/10пак/ТМ Лускунчики;шт;1;9.69;9.69;54.00;54.00
Арахіс у хруст.скор.СИР 80г/10пакЯМ Лускунчики;шт;1;8.78;8.78;75.00;75.00
Арахіс у хруст.скор.СМЕТЗЕЛ80г/10пак/ТМ Лускунчики;шт;1;9.68;9.68;189.00;189.00
Насіння сон.смаж.220г/1 Опак./ТМ Лускунчики;шт;1;11.62;11.62;69.00;69.00
Насіння сон.смаж.СОЛЫ20г/15пак./ТМ Лускунчики;шт;1;10.29;10.29;184.00;184.00
Насіння сон.смаж.СОЛЬ70г/30пак./ТМ Лускунчики;шт;1;6.16;6.16;114.00;114.00
Ядро сон.смаж. СОЛЬ 50г/15пак./ТМ Лускунчики;шт;1;3.50;3.50;136.00;136.00
Ядро сон.смаж.250г/12пак.ЕМ Лускунчики;шт;1;13.39;13.39;12 00;12.00
Океан изобилия;;;;;;
"1000г Камбала сушена ТМ ""ОІ""";пак;1;158 40;158 40;1.00;1.00
"1000г Павутинка ТЕМНА ТМ ""ОІ""";пак;1;415.80;415.80;5.00;5.00
"500г Crispy в соєвому соусі з кунжутом ТМ ""ОІ""";пак;1;52.14;52.14;4.00;4.00
"500г Crispy Сир ТМ ""ОІ""";пак;1;48.84;48.84;7.00;7.00
