Прайс на дату: 17.02.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
ОТТІМО ТМ;;;;;;
Кук.пал.солод. негл.з сюрп. ДІВЧАТА 90г /ТМ ОТТІМО;шт;1;9.49;9.49;474.00;474.00
Кук.пал.солод. негл.з сюрп. ХЛОПЦІ 90г /ТМ ОТТІМО;шт;1;9.49;9.49;547.00;547.00
Кук.пал.солод. СЮРПРИЗ ДІВЧАТА 120г*20 /ТМ ОТТІМО;шт;1;15.76;15.76;365.00;365.00
Кук.пал.солод. СЮРПРИЗ ХЛОПЦІ 120г*20 /ТМ ОТТІМО;шт;1;15.76;15.76;432.00;432.00
Кук.пал.солод.СЮРПРИЗ  ХЛОПЦІ  55г*30 /ТМ ОТТІМО;шт;1;7.73;7.73;55.00;55.00
Кук.пал.солод.СЮРПРИЗ ДІВЧАТА  55г*30 /ТМ ОТТІМО;шт;1;7.73;7.73;82.00;82.00
Кукур. пал. неглаз. БЕКОН 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28; ; 
Кукур. пал. неглаз. ГРИБИ в СМЕТАНІ 45г /ТМ ОТТІМО;шт;1;4.28;4.28; ; 
Кукур. пал. неглаз. САЛЯМІ 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28; ; 
Кукур. пал. неглаз. СИР 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;1.00;1.00
Кукур. пал. неглаз.ЧЕРВОНА ІКРА  45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28; ; 
Кукурудз. палички солодкі неглаз.400г/7штТМ ОТТІМО;шт;1;17.48;17.48;76.00;76.00
Кукурудз. палички солодкі неглаз.60г*40/ТМ ОТТІМО;шт;1;3.78;3.78;1.00;1.00
Кукурудзяні палички МОЛОЧНІ 165г*25/ТМ ОТТІМО;шт;1;10.75;10.75;12.00;12.00
Кукурудзяні палички МОЛОЧНІ 55г*30 /ТМ ОТТІМО;шт;1;4.28;4.28; ; 
Повітряні зерна кук.СОЛОДКІ негл. 50г*30/ТМ ОТТІМО;шт;1;7.22;7.22; ; 
Повітряні зерна кук.СОЛОДКІ негл..20г*50/ТМ ОТТІМО;шт;1;3.44;3.44;60.00;60.00
Повітряні зерна кук.СОЛОНІ негл. 20г*50/ТМ ОТТІМО;шт;1;3.44;3.44; ; 
Повітряні зерна кук.СОЛОНІ негл. 50г*30/ТМ ОТТІМО;шт;1;7.22;7.22;1.00;1.00
ПАРА ПЕРЦІВ;;;;;;
"АКЦІЯ!Лимонна кислота 20гр/300 в ящ. ""Пара перців""";шт;1;0.01;0.01;2.00;2.00
"Лавровий лист мелений 20гр/240 в ящ. ""Пара перців""";шт;1;1.50;1.50;242.00;242.00
МАНДРИ;;;;;;
"Лимонна кислота 20гр""Мандри""";шт;1;1.53;1.53; ; 
"Перець духмяний горошок15гр/20уп./200""Мандри""";шт;1;3.36;3.36;96.00;96.00
"Перець чорний мелений 20гр/20уп./240 ""Мандри""";шт;1;2.98;2.98;35.00;35.00
"Суміш перців  20гр/160 в ящ. ""Пара перців""";шт;1;2.00;2.00;161.00;161.00
ЧАЙ ТРИ СЛОНА;;;;;;
ТМ КРЕПКИЙ ДСТУ чорн байх лист 80гр картон*54шт;шт;1;10.86;10.86;105.00;105.00
ТМ Мономах ЕРЛ ГРЕЙ 25*2г*18шт;шт;1;16.32;16.32; ; 
Чай Три Слони  ф/п б/н 20*1,3гр*24ш;шт;1;6.74;6.74;43.00;43.00
Чай Три Слони Лісова Ягода ф/п б/н 20*1,3гр*24ш;шт;1;6.74;6.74; ; 
Кондитерські вироби;;;;;;
ВАВРИК ТМ;;;;;;
Baton Chio Chio цукерка 2,0 кг Vavryk&Co;кг;2;63.67;127.33;18.00;9.00
Baton Chio CHOKO цукерка 2,0 кг Vavryk&Co;кг;2;69.90;139.81;22.00;11.00
PICCOLO цук.зі смак.лісов.горіху 1,2 кг Vavryk&Co;кг;1.2;88.13;105.75; ; 
Sherwood цукерка  2,0 кг Vavryk&Co;кг;2;96.23;192.46; ; 
Бабусині смаколики цукерка  2,0 кг Vavryk&Co;кг;2;82.86;165.73; ; 
"Ваф.рулетики ванілін ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80; ; 
"Ваф.рулетики згущене молок ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80; ; 
"Ваф.рулетики пряжене мол. ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80; ; 
"Ваф.рулетики шоколад ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80; ; 
"Ваф.труб. ""Мііо-Нотті ""Згущ.молоко 2,0кгVavryk&Co";кг;2;55.32;110.65; ; 
"Ваф.трубочка ""Мііо "" з згущ. мол.  2,0кгVavryk&Co";кг;2;55.32;110.65; ; 
"Ваф.трубочка ""Мііо "" з Какао 2,0кгVavryk&Co";кг;2;55.32;110.65; ; 
"Ваф.трубочка ""Мііо "" з Халвою  2,0кгVavryk&Co";кг;2;55.32;110.65;2.00;1.00
"Ваф.трубочка ""Мііо ""Ваніль 2,0 кг Vavryk&Co";кг;2;55.32;110.65; ; 
Коко Джамбо цукерка  2,0 кг Vavryk&Co;кг;2;97.11;194.22;76.00;38.00
Султан Тан цукерка  2,0 кг Vavryk&Co;кг;2;84.08;168.16;28.00;14.00
ФАС Ваф.рулет. шоколад п/п уп. 200 г Vavryk&Co;шт;1;13.94;13.94;1.00;1.00
Цукерка Кара-Кум  2,0 кг Vavryk&Co;кг;2;95.09;190.19; ; 
Червоний мак цукерка 2,0 кг Vavryk&Co;кг;2;80.35;160.70; ; 
ЧІО ЧІО НАТ Батончик  2,0 кг Vavryk&Co;кг;2;64.31;128.63;4.00;2.00
ЧІО ЧІО НАТ Батончик глазуров. 2,0 кг Vavryk&Co;кг;2;75.90;151.79;56.00;28.00
