Прайс на дату: 08.07.18;;;;;;
Name;unit;packaging ;priceForUnit;priceForPacaging;stockBalanceInUnit;stockBalanceInPacaging
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
ВОДА КВІТОЧКА;;;;;;
0,5 л Енергетичний напій Торнадо Джамп;шт;1;8.65;8.65;238.00;238.00
0,5 л Енергетичний напій Торнадо Ред;шт;1;8.65;8.65;22.00;22.00
1,5л Квіточка напої АПЕЛЬСИН/6шт;шт;1;8.76;8.76;541.00;541.00
1,5л Квіточка напої ГРУША/6шт;шт;1;8.76;8.76;432.00;432.00
1,5л Квіточка напої КОЛА/6шт;шт;1;8.76;8.76;575.00;575.00
1,5л Квіточка напої ЛИМОНАД/6шт;шт;1;8.76;8.76;573.00;573.00
1,5л Квіточка напої ЛИМОН-ЛАЙМ/6шт;шт;1;8.76;8.76;468.00;468.00
1,5л Квіточка напої СІТРО/6шт;шт;1;8.76;8.76;696.00;696.00
1,5л Квіточка напої ЯБЛУКО-ЕХІНАЦЕЯ/6шт;шт;1;8.76;8.76;503.00;503.00
1,5л Коктейлі ба  МОХІТО/6шт;шт;1;10.55;10.55;200.00;200.00
1,5л Коктейлі ба ПІНАКОЛАДА /6шт;шт;1;10.55;10.55;112.00;112.00
1,5л питна Віта ТМ Квіточка / 6 шт;шт;1;7.57;7.57;190.00;190.00
ЛУСКУНЧИК тм;;;;;;
Арахіс смаж. в шкарлупі 130г/10пак./ТМ Лускунчики;шт;1;18.69;18.69;162.00;162.00
Арахіс смаж. в шкарлупі 55г/20пак./ТМ Лускунчики;шт;1;7.98;7.98;46.00;46.00
Арахіс у хруст.ск.ТЕЛЯТИНА 500г/30пак/ТМ Лускунчик;шт;1;47.04;47.04;22.00;22.00
Арахіс у хруст.скМЕКС.СОУС 500г/30пак/ТМ Лускунчик;шт;1;47.04;47.04;12.00;12.00
Арахіс у хруст.скМЕКС.СОУС 500г/30пак/ТМ Лускунчик;шт;1;47.04;47.04;23.00;23.00
Арахіс у хруст.скор.БЕКОН 500г/30пак/ТМ Лускунчик;шт;1;47.04;47.04;52.00;52.00
Арахіс у хруст.скор.БЕКОН 60г/10пак/ТМ Лускунчики;шт;1;7.28;7.28;282.00;282.00
Арахіс у хруст.скор.ВАСАБІ 500г/30пак/ТМ Лускунчик;шт;1;47.04;47.04;25.00;25.00
Арахіс у хруст.скор.ВАСАБІ 60г/10пак/ТМ Лускунчики;шт;1;7.28;7.28;212.00;212.00
Арахіс у хруст.скор.ВАСАБІ 80г/10пак/ТМ Лускунчики;шт;1;9.69;9.69;57.00;57.00
Арахіс у хруст.скор.КУРКА  80г/10пак/ТМ Лускунчики;шт;1;9.69;9.69;33.00;33.00
Арахіс у хруст.скор.СИР 60г/10пак/ТМ Лускунчики;шт;1;7.28;7.28;173.00;173.00
Арахіс у хруст.скор.СМЕТЗЕЛ80г/10пак/ТМ Лускунчики;шт;1;9.68;9.68;87.00;87.00
Насіння сон.смаж.150г/15пак./ТМ Лускунчики;шт;1;7.91;7.91;203.00;203.00
Насіння сон.смаж.220г/10пак./ТМ Лускунчики;шт;1;11.62;11.62;128.00;128.00
Насіння сон.смаж.СОЛЬ80г/20пак./ТМ Лускунчики;шт;1;6.79;6.79;30.00;30.00
Ядро сон.смаж. СОЛЬ 50г/15пак./ТМ Лускунчики;шт;1;3.50;3.50;212.00;212.00
Ядро сон.смаж.250г/12пак./ТМ Лускунчики;шт;1;13.39;13.39;145.00;145.00
Ядро сон.смаж.50г/15пак./ТМ Лускунчики;шт;1;3.29;3.29;112.00;112.00
ОКЕАН ІЗОБІЛІЯ;;;;;;
"1000г Жовтий смугастик ТМ ""ОІ""";пак;1;297.00;297.00;10.00;10.00
"1000г Камбала сушена ТМ ""ОІ""";пак;1;158.40;158.40;10.00;10.00
"1000г Льодяна спинка ТМ ""ОІ""";пак;1;290.40;290.40;10.00;10.00
"1000г Охотський посол ТМ ""ОІ""";пак;1;264.00;264.00;10.00;10.00
"1000г Павутинка ТЕМНА  ТМ ""ОІ""";пак;1;415.80;415.80;7.00;7.00
"1000г Павутинка тунця з перцем ТМ ""ОІ""";шт;1;264.00;264.00;10.00;10.00
"500г Анчоус №2 ТМ ""ОІ""";пак;1;147.84;147.84;5.00;5.00
"500г Кільця Кальмара ТМ ""ОІ""";пак;1;187.44;187.44;13.00;13.00
"500г Лосось палочки ТМ ""ОІ""";пак;1;137.94;137.94;10.00;10.00
"500г Павутинка ТМ ""ОІ""";пак;1;210.54;210.54;14.00;14.00
"500г Тунець з перцем ТМ ""ОІ""";пак;1;128.04;128.04;4.00;4.00
"500г Янтарна з перцем ТМ ""ОІ""";пак;1;130.68;130.68;7.00;7.00
"АКЦІЯ Насііння  ""Щелкунчики "" 60г* 50 шт.ТМ ""ОІ""";шт;1;0.01;0.01;21.00;21.00
"Анчоус солоно-сушений 15г* 80 шт.ТМ ""ОІ""";шт;1;8.20;8.20;160.00;160.00
"Анчоус солоно-сушений 25г* 50 шт.ТМ ""ОІ""";шт;1;12.88;12.88;45.00;45.00
"Грінки житн.-пшен. мислив.ковб.*70шт ТМ ""ОІ""";шт;1;5.27;5.27;34.00;34.00
"Грінки житн.-пшен. сало та часник *70шт ТМ ""ОІ""";шт;1;5.27;5.27;30.00;30.00
"Грінки житн.-пшен. телятина та аджик *70шт ТМ ""ОІ""";шт;1;5.27;5.27;34.00;34.00
"Грінки житн.-пшен. томат *70шт ТМ ""ОІ""";шт;1;5.27;5.27;34.00;34.00
"Жовтий смугастик 18 г* 80 шт.ТМ ""ОІ""";шт;1;9.37;9.37;30.00;30.00
"Кальмар сушений 18 г* 55 шт.ТМ ""ОІ""";шт;1;11.22;11.22;46.00;46.00
"Кальмар сушений з перцем 18 г* 55 шт.ТМ ""ОІ""";шт;1;9.75;9.75;55.00;55.00
"Кільця кальмара 15 г* 80 шт.ТМ ""ОІ""";шт;1;9.24;9.24;86.00;86.00
"Кільця кальмара 36 г* 40 шт.ТМ ""ОІ""";шт;1;20.20;20.20;32.00;32.00
"Льодяна спинка 18 г* 80 шт.ТМ ""ОІ""";шт;1;8.40;8.40;71.00;71.00
"Охотський посол 18г*70 шт.ТМ ""ОІ""";шт;1;8.98;8.98;70.00;70.00
"Павутинка  7 г* 130 шт.ТМ ""ОІ""";шт;1;5.85;5.85;134.00;134.00
"Павутинка з перцем 7 г* 130 шт.ТМ ""ОІ""";шт;1;5.02;5.02;133.00;133.00
"Посейдончики 18 г* 90 шт.ТМ ""ОІ""";шт;1;8.98;8.98;90.00;90.00
"П'ятачок по українськи 18 г* 100 шт.ТМ ""ОІ""";шт;1;8.58;8.58;96.00;96.00
"Сухарики житні  Шашлик 35г*120шт ТМ ""ОІ""";шт;1;2.64;2.64;107.00;107.00
"Сухарики житні Бекон 35г*120шт ТМ ""ОІ""";шт;1;2.64;2.64;111.00;111.00
"Сухарики житні Холодець з хреном 35г*120шт ТМ ""ОІ""";шт;1;2.64;2.64;99.00;99.00
"Сухарики пшен.Сметана та  зелень 35г*120шт ТМ ""ОІ""";шт;1;2.64;2.64;96.00;96.00
"Сухарики пшен.Червона ікра 35г*120шт ТМ ""ОІ""";шт;1;2.64;2.64;111.00;111.00
"Тещин язик 18г*90 шт. ТМ ""ОІ""";шт;1;8.40;8.40;90.00;90.00
"Тунець солоно-сушений 18 г* 80 шт ТМ ""ОІ""";шт;1;8.58;8.58;80.00;80.00
ОТТІМО ТМ;;;;;;
Арахіс смажен.СОЛОНИЙ 30г*10 /ТМ ОТТІМО;шт;1;4.54;4.54;148.00;148.00
Арахіс смажен.солоний БЕКОН 35г*10 /ТМ ОТТІМО;шт;1;5.63;5.63;9.00;9.00
Арахіс смажен.солоний ВАРЕНІ РАКИ 35г*10/ТМ ОТТІМО;шт;1;5.77;5.77;11.00;11.00
Кук.пал.солод. негл.з сюрп. ДІВЧАТА 90г /ТМ ОТТІМО;шт;1;9.41;9.41;229.00;229.00
Кук.пал.солод. негл.з сюрп. ХЛОПЦІ 90г /ТМ ОТТІМО;шт;1;9.41;9.41;264.00;264.00
Кук.пал.солод. СЮРПРИЗ ДІВЧАТА 120г*20 /ТМ ОТТІМО;шт;1;16.80;16.80;310.00;310.00
Кук.пал.солод. СЮРПРИЗ ХЛОПЦІ 120г*20 /ТМ ОТТІМО;шт;1;16.80;16.80;244.00;244.00
Кук.пал.солод.СЮРПРИЗ  ХЛОПЦІ  55г*30 /ТМ ОТТІМО;шт;1;7.56;7.56;397.00;397.00
Кук.пал.солод.СЮРПРИЗ ДІВЧАТА  55г*30 /ТМ ОТТІМО;шт;1;7.56;7.56;432.00;432.00
Кукур. пал. неглаз. БЕКОН 45г*30 /ТМ ОТТІМО;шт;1;4.20;4.20;460.00;460.00
Кукур. пал. неглаз. ГРИБИ в СМЕТАНІ 45 /ТМ ОТТІМО;шт;1;4.20;4.20;289.00;289.00
Кукур. пал. неглаз. САЛЯМІ 45г*30 /ТМ ОТТІМО;шт;1;4.20;4.20;832.00;832.00
Кукур. пал. неглаз. СИР 45г*30 /ТМ ОТТІМО;шт;1;4.20;4.20;656.00;656.00
Кукур. пал. неглаз.ЧЕРВОНА ІКРА  45г*30 /ТМ ОТТІМО;шт;1;4.20;4.20;817.00;817.00
